"first_name","last_name","hire_date"
"Eran","Cusworth","1986-11-14"
"Bojan","Zallocco","1986-10-14"
"Nevio","Demizu","1986-05-18"
"Ziva","Vecchi","1986-03-07"
"Mohit","Speek","1986-01-14"
"Qunsheng","Speer","1986-02-13"
"Dines","Encarnacion","1986-02-08"
"Harngdar","Swick","1986-05-28"
"Freyja","Uhrig","1986-12-20"
"Zhenhua","Milicic","1986-04-08"
"Bowen","Schmezko","1986-05-30"
"Reuven","Munke","1986-04-13"
"Stabislas","Domenig","1986-04-08"
"Juichirou","Jumpertz","1986-09-18"
"Juichirou","Ghelli","1986-12-13"
"Shmuel","Georg","1986-11-30"
"Xiadong","Bach","1986-04-29"
"Guangming","Butterworth","1986-01-10"
"Irene","Setia","1986-10-08"
"Shuichi","Swiler","1986-08-06"
"Terresa","Perez","1986-12-09"
"Lidong","Borovoy","1986-05-30"
"Teiji","Eickenmeyer","1986-03-09"
"Baocai","Kroha","1986-10-27"
"Morrie","Sridhar","1986-04-03"
"Taegyun","Speckmann","1986-12-28"
"Stabislas","McFarlin","1986-07-19"
"Apostol","Ghelli","1986-07-04"
"Khun","Kuszyk","1986-06-30"
"Conor","Flanders","1986-02-21"
"Radhakrishnan","Albarhamtoshy","1986-07-05"
"Shigeu","Denna","1986-10-04"
"Uta","Frolund","1986-01-22"
"Zhiwei","Kaminger","1986-04-07"
"Sven","Krider","1986-09-25"
"Yannik","Vakili","1986-09-11"
"Khatoun","Zeilberger","1986-01-31"
"Fox","Erva","1986-06-05"
"Huai","Birrer","1986-03-28"
"Kristine","Litzler","1986-09-01"
"Eirik","Farrel","1986-09-19"
"Wayne","Levergood","1986-05-05"
"Chrisa","Cullers","1986-01-28"
"Manton","Perko","1986-06-18"
"Etsuo","Ratzlaff","1986-01-15"
"Odysseas","Erie","1986-06-02"
"Ingmar","Lambe","1986-10-21"
"Marin","Ashish","1986-11-07"
"JiYoung","Delaune","1986-04-09"
"Sandeepan","Sidou","1986-01-19"
"Neven","Leivant","1986-02-09"
"Sarita","Hofting","1986-03-07"
"Kolar","Karunanithi","1986-06-12"
"Shmuel","Impagliazzo","1986-02-19"
"Bedrich","Delaune","1986-06-04"
"Susanne","Asser","1986-05-08"
"Syozo","Sommen","1986-03-25"
"Ashish","Ventosa","1986-08-14"
"Ingmar","Pollacia","1986-08-21"
"Shrikanth","Ramalingam","1986-10-03"
"Rimli","Mahnke","1986-04-17"
"Adib","Chepyzhov","1986-10-11"
"Florina","Kavvadias","1986-12-14"
"Kiyomitsu","Bottner","1986-07-11"
"Berni","Thorelli","1986-05-08"
"Fumiya","Vilarrasa","1986-06-27"
"Remzi","Speckmann","1986-05-11"
"Georgi","Middleton","1986-11-24"
"Zejun","Anandan","1986-03-19"
"Kamakshi","Lipner","1986-08-17"
"Hyuncheol","Chaudhuri","1986-09-07"
